item	pergunta	resposta	peso	reversa	fator_geral	fator_especifico
1	Eu tenho acumulado tantas coisas que elas já estão me atrapalhando.	1 Discordo totalmente; 2 Discordo parcialmente; 3 Nem concordo nem discordo; 4 Concordo parcialmente; 5 Concordo totalmente	1	N	s	Ansiedade Reativa
2	Eu verifico coisas mais vezes do que é necessário.	1 Discordo totalmente; 2 Discordo parcialmente; 3 Nem concordo nem discordo; 4 Concordo parcialmente; 5 Concordo totalmente	1	N	s	Ansiedade Saudável
3	Eu fico chateado se os objetos não estão arrumados corretamente.	1 Discordo totalmente; 2 Discordo parcialmente; 3 Nem concordo nem discordo; 4 Concordo parcialmente; 5 Concordo totalmente	1	R	s	Ansiedade Saudável
4	Eu sinto vontade de contar enquanto estou fazendo coisas.	1 Discordo totalmente; 2 Discordo parcialmente; 3 Nem concordo nem discordo; 4 Concordo parcialmente; 5 Concordo totalmente	1	N	s	Ansiedade Saudável
5	Eu sinto dificuldade em tocar um objeto se sei que este já foi tocado por estranhos ou por certas pessoas.	1 Discordo totalmente; 2 Discordo parcialmente; 3 Nem concordo nem discordo; 4 Concordo parcialmente; 5 Concordo totalmente	1	N	s	Ansiedade Saudável
6	Eu tenho dificuldades em controlar meus próprios pensamentos.	1 Discordo totalmente; 2 Discordo parcialmente; 3 Nem concordo nem discordo; 4 Concordo parcialmente; 5 Concordo totalmente	1	N	s	Ansiedade Saudável
7	Eu coleciono coisas de que não preciso.	1 Discordo totalmente; 2 Discordo parcialmente; 3 Nem concordo nem discordo; 4 Concordo parcialmente; 5 Concordo totalmente	1	N	s	Ansiedade Reativa
8	Eu verifico repetidamente as portas, janelas, gavetas, etc.	1 Discordo totalmente; 2 Discordo parcialmente; 3 Nem concordo nem discordo; 4 Concordo parcialmente; 5 Concordo totalmente	1	N	s	Ansiedade Reativa
9	Eu fico chateado se outras pessoas mudam as coisas que arrumei.	1 Discordo totalmente; 2 Discordo parcialmente; 3 Nem concordo nem discordo; 4 Concordo parcialmente; 5 Concordo totalmente	1	N	s	Ansiedade Reativa
10	Eu sinto necessidade de repetir certos números.	1 Discordo totalmente; 2 Discordo parcialmente; 3 Nem concordo nem discordo; 4 Concordo parcialmente; 5 Concordo totalmente	1	N	s	Ansiedade Reativa
11	Às vezes tenho que me lavar simplesmente porque me sinto contaminado.	1 Discordo totalmente; 2 Discordo parcialmente; 3 Nem concordo nem discordo; 4 Concordo parcialmente; 5 Concordo totalmente	1	N	s	Ansiedade Cumulativa
12	Pensamentos desagradáveis que invadem minha mente contra a minha vontade me deixam chateado.	1 Discordo totalmente; 2 Discordo parcialmente; 3 Nem concordo nem discordo; 4 Concordo parcialmente; 5 Concordo totalmente	1	N	s	Ansiedade Cumulativa
13	Evito jogar coisas fora, pois tenho medo de precisar delas em outro momento.	1 Discordo totalmente; 2 Discordo parcialmente; 3 Nem concordo nem discordo; 4 Concordo parcialmente; 5 Concordo totalmente	1	N	s	Ansiedade Cumulativa
14	Eu verifico repetidamente o gás, as torneiras e os interruptores de luz após desligá-los.	1 Discordo totalmente; 2 Discordo parcialmente; 3 Nem concordo nem discordo; 4 Concordo parcialmente; 5 Concordo totalmente	1	N	s	Ansiedade Cumulativa
15	Eu necessito que as coisas estejam arrumadas em uma determinada ordem.	1 Discordo totalmente; 2 Discordo parcialmente; 3 Nem concordo nem discordo; 4 Concordo parcialmente; 5 Concordo totalmente	1	N	s	Ansiedade Cumulativa
16	Eu acredito que há números bons e ruins.	1 Discordo totalmente; 2 Discordo parcialmente; 3 Nem concordo nem discordo; 4 Concordo parcialmente; 5 Concordo totalmente	1	N	s	Ansiedade Reativa
17	Eu lavo as minhas mãos mais vezes que o necessário.	1 Discordo totalmente; 2 Discordo parcialmente; 3 Nem concordo nem discordo; 4 Concordo parcialmente; 5 Concordo totalmente	1	N	s	Ansiedade Reativa
18	Eu tenho pensamentos impróprios com frequência e tenho dificuldade em me livrar deles.	1 Discordo totalmente; 2 Discordo parcialmente; 3 Nem concordo nem discordo; 4 Concordo parcialmente; 5 Concordo totalmente	1	N	s	Ansiedade Reativa
